workbook,sheet,range,table_title,configuration,throttle_pct,thrust_g,current_a,power_input_w,rpm,efficiency_g_per_w,torque_nm,power_output_w,temperature,derived_ct,derived_cp,used_for_coefficient,note
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,35,2089,4.6,211.4,2873,9.9,0.5,162.5,,0.073460,0.028202,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,37,2334,5.3,244.1,3034,9.6,0.6,193.8,,0.073596,0.027651,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,39,2579,6.1,280.4,3189,9.2,0.7,223.7,,0.073608,0.027353,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,42,2949,7.4,341.2,3413,8.6,0.8,275.2,,0.073483,0.027151,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,45,3322,8.9,408,3626,8.1,0.9,326.5,,0.073338,0.027075,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,48,3701,10.4,478.9,3830,7.7,1,385,,0.073233,0.026967,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,51,4089,12.1,554.8,4025,7.4,1.1,446.8,,0.073260,0.026917,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,54,4489,13.8,634.9,4213,7.1,1.2,516.1,,0.073409,0.026861,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,57,4905,15.7,720.5,4395,6.8,1.3,584.5,,0.073706,0.026850,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,60,5338,17.7,812.6,4574,6.6,1.4,661,,0.074058,0.026864,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,63,5791,19.8,912.3,4750,6.3,1.5,746.1,,0.074499,0.026931,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,66,6265,22.2,1022.3,4926,6.1,1.6,835.6,,0.074940,0.027057,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,69,6759,24.9,1144.3,5102,5.9,1.8,934.9,,0.075368,0.027259,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,72,7272,27.8,1280.7,5280,5.7,1.9,1039.4,,0.075713,0.027525,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,75,7799,31.2,1434,5461,5.4,2,1155.1,,0.075906,0.027856,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,78,8333,34.9,1604.3,5644,5.2,2.2,1282.5,,0.075929,0.028230,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,81,8866,38.9,1788.4,5824,5,2.3,1408.7,,0.075870,0.028641,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,84,9385,43.1,1982.1,5996,4.7,2.5,1538.2,,0.075769,0.029089,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,87,9875,47.3,2176.3,6150,4.5,2.6,1667.9,,0.075783,0.029599,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,90,10318,51.2,2356.5,6278,4.4,2.7,1781.5,,0.075986,0.030129,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,100,11114,58.4,2684.4,6461,4.1,2.9,1975.5,,0.077278,0.031487,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
